fighter,date,event,avg_kd,avg_sig_str_landed,avg_sig_str_att,avg_total_str_landed,avg_total_str_att,avg_td_landed,avg_td_att,avg_sub_att,avg_ctrl_seconds,avg_head_landed,avg_body_landed,avg_leg_landed,avg_distance_landed,avg_clinch_landed,avg_ground_landed,weight_class,result,style
Nate Marquardt,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Kyoji Horiguchi,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Donald Cerrone,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Paul Felder,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Brad Tavares,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Middleweight,W,Mixed
Rodrigo Damm,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Marion Reneau,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Mats Nilsson,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Louis Gaudinot,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Daniel Cormier,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,UFC Light Heavyweight Title,L,Mixed
Omari Akhmedov,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Welterweight,W,Mixed
Cody Garbrandt,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Myles Jury,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Alexis Dufresne,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Women's Bantamweight,L,Mixed
Joshua Burkman,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Marcus Brimage,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Jared Cannonier,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Heavyweight,L,Mixed
Evan Dunham,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Jon Jones,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,UFC Light Heavyweight Title,W,Mixed
Hector Lombard,2015-01-03,UFC 182: Jones vs Cormier,,,,,,,,,,,,,,,,Welterweight,L,Mixed
