event,event_date,fighter,opponent,weight_class,style,opp_style,predicted_prob,Odds,implied_prob,betting_edge,bet_size,dk_link,dk_parlay_link,result,net,won,event_name,name
UFC 327: Prochazka vs. Ulberg,2026-04-11,Jiri Prochazka,Carlos Ulberg,Light Heavyweight,Sniper,Striker,0.8379,-104.0,0.5098,0.3281,3,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,L,-3.0,0,UFC 327: Prochazka vs. Ulberg,Jiri Prochazka
UFC 327: Prochazka vs. Ulberg,2026-04-11,Carlos Ulberg,Jiri Prochazka,Light Heavyweight,Striker,Sniper,0.1621,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,W,0.0,1,UFC 327: Prochazka vs. Ulberg,Carlos Ulberg
UFC 327: Prochazka vs. Ulberg,2026-04-11,Azamat Murzakanov,Paulo Costa,Light Heavyweight,Mixed,Sniper,0.2616,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,L,0.0,0,UFC 327: Prochazka vs. Ulberg,Azamat Murzakanov
UFC 327: Prochazka vs. Ulberg,2026-04-11,Paulo Costa,Azamat Murzakanov,Light Heavyweight,Sniper,Mixed,0.7384,173.0,0.3663,0.3721,3,https://gambly.com/gambly-bot?auto=1&prompt=paulo+costa+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,W,5.19,1,UFC 327: Prochazka vs. Ulberg,Paulo Costa
UFC 327: Prochazka vs. Ulberg,2026-04-11,Dominick Reyes,Johnny Walker,Light Heavyweight,Striker,Mixed,0.0964,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,W,0.0,1,UFC 327: Prochazka vs. Ulberg,Dominick Reyes
UFC 327: Prochazka vs. Ulberg,2026-04-11,Johnny Walker,Dominick Reyes,Light Heavyweight,Mixed,Striker,0.9036,127.0,0.4405,0.4631,3,https://gambly.com/gambly-bot?auto=1&prompt=johnny+walker+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,L,-3.0,0,UFC 327: Prochazka vs. Ulberg,Johnny Walker
UFC 327: Prochazka vs. Ulberg,2026-04-11,Cub Swanson,Nate Landwehr,Featherweight,Sniper,Mixed,0.5085,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,W,0.0,1,UFC 327: Prochazka vs. Ulberg,Cub Swanson
UFC 327: Prochazka vs. Ulberg,2026-04-11,Nate Landwehr,Cub Swanson,Featherweight,Mixed,Sniper,0.4915,104.0,0.4902,0.0014,0,,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,L,0.0,0,UFC 327: Prochazka vs. Ulberg,Nate Landwehr
UFC 327: Prochazka vs. Ulberg,2026-04-11,Kevin Holland,Randy Brown,Welterweight,Sniper,Sniper,0.292,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,W,0.0,1,UFC 327: Prochazka vs. Ulberg,Kevin Holland
UFC 327: Prochazka vs. Ulberg,2026-04-11,Randy Brown,Kevin Holland,Welterweight,Sniper,Sniper,0.708,-108.0,0.5192,0.1888,2,https://gambly.com/gambly-bot?auto=1&prompt=randy+brown+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=jiri+prochazka+moneyline+and+paulo+costa+moneyline+and+johnny+walker+moneyline+and+randy+brown+moneyline+and+mateusz+gamrot+moneyline+and+tatiana+suarez+moneyline+and+vicente+luque+moneyline+and+francisco+prado+moneyline,L,-2.0,0,UFC 327: Prochazka vs. Ulberg,Randy Brown
