event,event_date,fighter,opponent,weight_class,style,opp_style,predicted_prob,Odds,implied_prob,betting_edge,bet_size,dk_link,dk_parlay_link,result,net,won,event_name,name
UFC 328: Chimaev vs. Strickland,2026-05-09,Khamzat Chimaev,Sean Strickland,Middleweight,Mixed,Sniper,0.6132,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,0.0,0,UFC 328: Chimaev vs. Strickland,Khamzat Chimaev
UFC 328: Chimaev vs. Strickland,2026-05-09,Sean Strickland,Khamzat Chimaev,Middleweight,Sniper,Mixed,0.3868,372.0,0.2119,0.1749,2,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,7.44,1,UFC 328: Chimaev vs. Strickland,Sean Strickland
UFC 328: Chimaev vs. Strickland,2026-05-09,Joshua Van,Tatsuro Taira,Flyweight,Muay_Thai,Mixed,0.01,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,0.0,1,UFC 328: Chimaev vs. Strickland,Joshua Van
UFC 328: Chimaev vs. Strickland,2026-05-09,Tatsuro Taira,Joshua Van,Flyweight,Mixed,Muay_Thai,0.99,-150.0,0.6,0.39,3,https://gambly.com/gambly-bot?auto=1&prompt=tatsuro+taira+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,-3.0,0,UFC 328: Chimaev vs. Strickland,Tatsuro Taira
UFC 328: Chimaev vs. Strickland,2026-05-09,Alexander Volkov,Waldo Cortes Acosta,Heavyweight,Sniper,Mixed,0.2966,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,0.0,1,UFC 328: Chimaev vs. Strickland,Alexander Volkov
UFC 328: Chimaev vs. Strickland,2026-05-09,Waldo Cortes Acosta,Alexander Volkov,Heavyweight,Mixed,Sniper,0.7034,138.0,0.4202,0.2832,3,https://gambly.com/gambly-bot?auto=1&prompt=waldo+cortes+acosta+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,-3.0,0,UFC 328: Chimaev vs. Strickland,Waldo Cortes Acosta
UFC 328: Chimaev vs. Strickland,2026-05-09,Sean Brady,Joaquin Buckley,Welterweight,Mixed,Mixed,0.3949,-150.0,0.6,-0.2051,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,0.0,1,UFC 328: Chimaev vs. Strickland,Sean Brady
UFC 328: Chimaev vs. Strickland,2026-05-09,Joaquin Buckley,Sean Brady,Welterweight,Mixed,Mixed,0.6051,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,0.0,0,UFC 328: Chimaev vs. Strickland,Joaquin Buckley
UFC 328: Chimaev vs. Strickland,2026-05-09,King Green,Jeremy Stephens,Lightweight,Sniper,Mixed,0.5454,-382.0,0.7925,-0.2471,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,0.0,1,UFC 328: Chimaev vs. Strickland,King Green
UFC 328: Chimaev vs. Strickland,2026-05-09,Jeremy Stephens,King Green,Lightweight,Mixed,Sniper,0.4546,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,0.0,0,UFC 328: Chimaev vs. Strickland,Jeremy Stephens
UFC 328: Chimaev vs. Strickland,2026-05-09,Grant Dawson,Mateusz Rebecki,Lightweight,Mixed,Sniper,0.587,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,0.0,1,UFC 328: Chimaev vs. Strickland,Grant Dawson
UFC 328: Chimaev vs. Strickland,2026-05-09,Mateusz Rebecki,Grant Dawson,Lightweight,Sniper,Mixed,0.413,156.0,0.3906,0.0223,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,0.0,0,UFC 328: Chimaev vs. Strickland,Mateusz Rebecki
UFC 328: Chimaev vs. Strickland,2026-05-09,Jim Miller,Jared Gordon,Lightweight,Mixed,Sniper,0.5261,239.0,0.295,0.2311,3,https://gambly.com/gambly-bot?auto=1&prompt=jim+miller+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,7.17,1,UFC 328: Chimaev vs. Strickland,Jim Miller
UFC 328: Chimaev vs. Strickland,2026-05-09,Jared Gordon,Jim Miller,Lightweight,Sniper,Mixed,0.4739,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,0.0,0,UFC 328: Chimaev vs. Strickland,Jared Gordon
UFC 328: Chimaev vs. Strickland,2026-05-09,Roman Kopylov,Marco Tulio,Middleweight,Sniper,Striker,0.01,163.0,0.3802,-0.3702,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,0.0,1,UFC 328: Chimaev vs. Strickland,Roman Kopylov
UFC 328: Chimaev vs. Strickland,2026-05-09,Marco Tulio,Roman Kopylov,Middleweight,Striker,Sniper,0.99,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,0.0,0,UFC 328: Chimaev vs. Strickland,Marco Tulio
UFC 328: Chimaev vs. Strickland,2026-05-09,Pat Sabatini,William Gomis,Featherweight,Mixed,Mixed,0.5455,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,W,0.0,1,UFC 328: Chimaev vs. Strickland,Pat Sabatini
UFC 328: Chimaev vs. Strickland,2026-05-09,William Gomis,Pat Sabatini,Featherweight,Mixed,Mixed,0.4545,181.0,0.3559,0.0986,1,https://gambly.com/gambly-bot?auto=1&prompt=william+gomis+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,-1.0,0,UFC 328: Chimaev vs. Strickland,William Gomis
UFC 328: Chimaev vs. Strickland,2026-05-09,Clayton Carpenter,Jose Ochoa,Flyweight,Mixed,Sniper,0.3587,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=sean+strickland+moneyline+and+tatsuro+taira+moneyline+and+waldo+cortes+acosta+moneyline+and+jim+miller+moneyline+and+william+gomis+moneyline,L,0.0,0,UFC 328: Chimaev vs. Strickland,Clayton Carpenter
