event,event_date,fighter,opponent,weight_class,style,opp_style,predicted_prob,Odds,implied_prob,betting_edge,bet_size,dk_link,dk_parlay_link,result,net,won,event_name,name
UFC Fight Night: Allen vs. Costa,2026-05-16,Arnold Allen,Melquizael Costa,Featherweight,Mixed,Mixed,0.4749,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,W,0.0,1,UFC Fight Night: Allen vs. Costa,Arnold Allen
UFC Fight Night: Allen vs. Costa,2026-05-16,Melquizael Costa,Arnold Allen,Featherweight,Mixed,Mixed,0.5251,108.0,0.4808,0.0443,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,L,0.0,0,UFC Fight Night: Allen vs. Costa,Melquizael Costa
UFC Fight Night: Allen vs. Costa,2026-05-16,Dooho Choi,Daniel Santos,Featherweight,Mixed,Mixed,0.3711,144.0,0.4098,-0.0388,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,W,0.0,1,UFC Fight Night: Allen vs. Costa,Dooho Choi
UFC Fight Night: Allen vs. Costa,2026-05-16,Daniel Santos,Dooho Choi,Featherweight,Mixed,Mixed,0.6289,-200.0,0.6667,-0.0377,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,L,0.0,0,UFC Fight Night: Allen vs. Costa,Daniel Santos
UFC Fight Night: Allen vs. Costa,2026-05-16,Nikolay Veretennikov,Khaos Williams,Welterweight,Mixed,Mixed,0.5389,104.0,0.4902,0.0487,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,L,0.0,0,UFC Fight Night: Allen vs. Costa,Nikolay Veretennikov
UFC Fight Night: Allen vs. Costa,2026-05-16,Khaos Williams,Nikolay Veretennikov,Welterweight,Mixed,Mixed,0.4611,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,W,0.0,1,UFC Fight Night: Allen vs. Costa,Khaos Williams
UFC Fight Night: Allen vs. Costa,2026-05-16,Tuco Tokkos,Ivan Erslan,Light Heavyweight,Mixed,Mixed,0.312,150.0,0.4,-0.088,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,L,0.0,0,UFC Fight Night: Allen vs. Costa,Tuco Tokkos
UFC Fight Night: Allen vs. Costa,2026-05-16,Ivan Erslan,Tuco Tokkos,Light Heavyweight,Mixed,Mixed,0.688,-549.0,0.8459,-0.1579,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,W,0.0,1,UFC Fight Night: Allen vs. Costa,Ivan Erslan
UFC Fight Night: Allen vs. Costa,2026-05-16,Ketlen Vieira,Jacqueline Cavalcanti,Women's Bantamweight,Mixed,Sniper,0.4457,150.0,0.4,0.0457,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,W,0.0,1,UFC Fight Night: Allen vs. Costa,Ketlen Vieira
UFC Fight Night: Allen vs. Costa,2026-05-16,Jacqueline Cavalcanti,Ketlen Vieira,Women's Bantamweight,Sniper,Mixed,0.5543,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=cody+brundage+moneyline+and+daniel+barez+moneyline,L,0.0,0,UFC Fight Night: Allen vs. Costa,Jacqueline Cavalcanti
