event,event_date,fighter,opponent,weight_class,style,opp_style,predicted_prob,Odds,implied_prob,betting_edge,bet_size,dk_link,dk_parlay_link,result,net,won,event_name,name
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Josh Emmett,Kevin Vallejos,Featherweight,Mixed,Mixed,0.4338,410,0.1961,0.2377,3,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,L,-3.0,0,UFC Fight Night: Emmett vs. Vallejos,Josh Emmett
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Kevin Vallejos,Josh Emmett,Featherweight,Mixed,Mixed,0.5662,-550,0.8462,-0.2799,0,,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,W,0.0,1,UFC Fight Night: Emmett vs. Vallejos,Kevin Vallejos
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Amanda Lemos,Gillian Robertson,Women's Strawweight,Mixed,Mixed,0.2587,166,0.3759,-0.1173,0,,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,L,0.0,0,UFC Fight Night: Emmett vs. Vallejos,Amanda Lemos
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Gillian Robertson,Amanda Lemos,Women's Strawweight,Mixed,Mixed,0.7413,-198,0.6644,0.0769,1,https://sportsbook.draftkings.com/event/33766391?outcomes=0ML83745398_3,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,W,0.51,1,UFC Fight Night: Emmett vs. Vallejos,Gillian Robertson
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Andre Fili,Jose Delgado,Featherweight,Mixed,Mixed,0.4594,310,0.2439,0.2155,3,https://sportsbook.draftkings.com/event/33766389?outcomes=0ML83745400_1,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,L,-3.0,0,UFC Fight Night: Emmett vs. Vallejos,Andre Fili
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Jose Delgado,Andre Fili,Featherweight,Mixed,Mixed,0.5406,-390,0.7959,-0.2554,0,,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,W,0.0,1,UFC Fight Night: Emmett vs. Vallejos,Jose Delgado
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Ion Cutelaba,Oumar Sy,Light Heavyweight,Muay_Thai,Mixed,0.7512,230,0.303,0.4482,3,https://sportsbook.draftkings.com/event/33766379?outcomes=0ML83745388_1,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,W,6.9,1,UFC Fight Night: Emmett vs. Vallejos,Ion Cutelaba
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Oumar Sy,Ion Cutelaba,Light Heavyweight,Mixed,Muay_Thai,0.2488,-280,0.7368,-0.488,0,,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,L,0.0,0,UFC Fight Night: Emmett vs. Vallejos,Oumar Sy
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Charles Johnson,Bruno Silva,Flyweight,Sniper,Mixed,0.1282,-174,0.635,-0.5068,0,,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,W,0.0,1,UFC Fight Night: Emmett vs. Vallejos,Charles Johnson
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Bruno Silva,Charles Johnson,Flyweight,Mixed,Sniper,0.8718,146,0.4065,0.4653,3,https://sportsbook.draftkings.com/event/33766381?outcomes=0ML83745391_3,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,L,-3.0,0,UFC Fight Night: Emmett vs. Vallejos,Bruno Silva
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Chris Curtis,Myktybek Orolbai,Welterweight,Sniper,Mixed,0.5323,265,0.274,0.2583,3,https://sportsbook.draftkings.com/event/33766388?outcomes=0ML83745395_1,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,L,-3.0,0,UFC Fight Night: Emmett vs. Vallejos,Chris Curtis
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Myktybek Orolbai,Chris Curtis,Welterweight,Mixed,Sniper,0.4677,-330,0.7674,-0.2998,0,,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,W,0.0,1,UFC Fight Night: Emmett vs. Vallejos,Myktybek Orolbai
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Brad Tavares,Eryk Anders,Middleweight,Mixed,Mixed,0.5104,-108,0.5192,-0.0088,0,,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,L,0.0,0,UFC Fight Night: Emmett vs. Vallejos,Brad Tavares
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Eryk Anders,Brad Tavares,Middleweight,Mixed,Mixed,0.4896,-108,0.5192,-0.0296,0,,https://sportsbook.draftkings.com/event/33766390?outcomes=0ML83745399_1+0ML83745398_3+0ML83745400_1+0ML83745388_1+0ML83745391_3+0ML83745395_1,W,0.0,1,UFC Fight Night: Emmett vs. Vallejos,Eryk Anders
