event,event_date,fighter,opponent,weight_class,style,opp_style,predicted_prob,Odds,implied_prob,betting_edge,bet_size,dk_link,dk_parlay_link,result,net,won,event_name,name
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Aljamain Sterling,Youssef Zalal,Featherweight,Muay_Thai,Mixed,0.6109,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,W,0.0,1,UFC Fight Night: Sterling vs. Zalal,Aljamain Sterling
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Youssef Zalal,Aljamain Sterling,Featherweight,Mixed,Muay_Thai,0.3891,-127.0,0.5595,-0.1703,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,L,0.0,0,UFC Fight Night: Sterling vs. Zalal,Youssef Zalal
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Norma Dumont,Joselyne Edwards,Women's Bantamweight,Mixed,Mixed,0.2932,-186.0,0.6503,-0.3571,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,L,0.0,0,UFC Fight Night: Sterling vs. Zalal,Norma Dumont
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Joselyne Edwards,Norma Dumont,Women's Bantamweight,Mixed,Mixed,0.7068,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,W,0.0,1,UFC Fight Night: Sterling vs. Zalal,Joselyne Edwards
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Rafa Garcia,Alexander Hernandez,Lightweight,Mixed,Sniper,0.5785,117.0,0.4608,0.1177,1,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,W,1.17,1,UFC Fight Night: Sterling vs. Zalal,Rafa Garcia
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Alexander Hernandez,Rafa Garcia,Lightweight,Sniper,Mixed,0.4215,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,L,0.0,0,UFC Fight Night: Sterling vs. Zalal,Alexander Hernandez
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Montel Jackson,Raoni Barcelos,Bantamweight,Mixed,Mixed,0.4863,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,L,0.0,0,UFC Fight Night: Sterling vs. Zalal,Montel Jackson
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Raoni Barcelos,Montel Jackson,Bantamweight,Mixed,Mixed,0.5137,163.0,0.3802,0.1335,2,https://gambly.com/gambly-bot?auto=1&prompt=raoni+barcelos+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,W,3.26,1,UFC Fight Night: Sterling vs. Zalal,Raoni Barcelos
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Rodolfo Vieira,Eric McConico,Middleweight,Mixed,Mixed,0.4869,-277.0,0.7347,-0.2478,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,L,0.0,0,UFC Fight Night: Sterling vs. Zalal,Rodolfo Vieira
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Eric McConico,Rodolfo Vieira,Middleweight,Mixed,Mixed,0.5131,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,W,0.0,1,UFC Fight Night: Sterling vs. Zalal,Eric McConico
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Jafel Filho,Cody Durden,Flyweight,Mixed,Mixed,0.598,-611.0,0.8594,-0.2614,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,L,0.0,0,UFC Fight Night: Sterling vs. Zalal,Jafel Filho
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Cody Durden,Jafel Filho,Flyweight,Mixed,Mixed,0.402,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,W,0.0,1,UFC Fight Night: Sterling vs. Zalal,Cody Durden
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Talita Alencar,Julia Polastri,Women's Strawweight,Mixed,Muay_Thai,0.7111,220.0,0.3125,0.3986,3,https://gambly.com/gambly-bot?auto=1&prompt=talita+alencar+moneyline,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,W,6.6,1,UFC Fight Night: Sterling vs. Zalal,Talita Alencar
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Julia Polastri,Talita Alencar,Women's Strawweight,Muay_Thai,Mixed,0.2889,,,,0,,https://gambly.com/gambly-bot?auto=1&prompt=rafa+garcia+moneyline+and+raoni+barcelos+moneyline+and+talita+alencar+moneyline,L,0.0,0,UFC Fight Night: Sterling vs. Zalal,Julia Polastri
